t,x,y,z,vx,vy,vz,mass,P
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,400000.0
0.005,0.00024865751294083824,0.0003085171041255288,1.0889311675738695e-05,0.09946300517633529,0.12340684165021153,0.004355724670295478,0.4751191887969314,395937.85482305783
0.01,0.0009937911566039793,0.0012325593022803492,4.350721752120028e-05,0.1985904522889212,0.24621003761171667,0.008691437667889153,0.47027168208722103,391972.9240810554
0.015,0.002233768879275036,0.0027691887535692622,9.775577170332512e-05,0.2974006367795017,0.36844174290384846,0.013007984004960789,0.4654569049973959,388101.6667004064
0.02,0.003967048970759708,0.0049156264951645545,0.0001735412172768046,0.395911399814367,0.49013335373426864,0.01730619422443101,0.46067430037898716,384320.71419009875
0.025,0.006192177860610262,0.007669248769278348,0.0002707739168094412,0.49414015612585477,0.611315555911249,0.021586885588623633,0.4559233280402125,380626.86015903373
0.030000000000000002,0.008907788051950019,0.011027583585905536,0.00038936828877923264,0.5921039204100479,0.7320183707396262,0.025850863199292935,0.4512034640203191,377017.050592845
0.035,0.012112596183963594,0.014988307509254926,0.0005292427494127174,0.6898193323953823,0.8522711986001298,0.03009892105410097,0.44651419990371344,373488.3748264928
0.04,0.01580540121667149,0.019549242656745378,0.0006903196596585618,0.7873026806877761,0.9721028603960509,0.03433184304423679,0.44185504217122984,370038.0571549828
0.045,0.019985082732115154,0.024708353900328103,0.0008725252770129414,0.8845699254896895,1.091541637037039,0.03855040389751506,0.4372255115860969,366663.44902997336
0.049999999999999996,0.02465059934654716,0.030463746260713267,0.0010757897119341605,0.9816367202831133,1.210615307117027,0.042755370070972576,0.4326251426123481,363362.02179487667
0.05499999999999999,0.02980098722865445,0.036813662485835175,0.001300046888603325,1.0785184325598023,1.3293511829317355,0.04694750059669321,0.4280534828635961,360131.35991541186
0.05999999999999999,0.03543535871924401,0.04375648080559151,0.0015452345098058897,1.1752301636760227,1.4477761449707978,0.05112754788433262,0.4235100925802445,356969.1546664604
0.06499999999999999,0.041552901048193154,0.05129071285554384,0.0018112940257256713,1.2717867679036337,1.5659166750101343,0.05529625848358005,0.41899454413335613,353873.1982395879
0.06999999999999999,0.0481528751448132,0.059415001762873496,0.002098170606458581,1.3682028707443847,1.6837988879217267,0.05945437380958378,0.414506421553525,350841.378238747
0.075,0.05523461453809883,0.0681281203884535,0.0024058131180679826,1.464492886569868,1.8014485623102798,0.06360263083417675,0.4100453200832239,347871.6725345257
0.08,0.06279752434363735,0.07742896971942761,0.0027341741020173445,1.5606710356455387,1.9188911700793627,0.06774176274556795,0.4056108457512029,344962.144449868
0.085,0.0708410803342352,0.08731657740718454,0.0030832097578287923,1.6567513605935988,2.0361519050234054,0.07187249957901122,0.40120261496762066,342110.93825251295
0.09000000000000001,0.07936482809158488,0.09779009644608391,0.003452879928828383,1.7527477423462754,2.1532557105363406,0.07599556882082509,0.3968202541386815,339316.27493149793
0.09500000000000001,0.08836838223654578,0.10884880398873145,0.0038431480908504797,1.8486739156380871,2.2702273065226746,0.08011169598801354,0.3924633992996335,336576.44823696796
0.10000000000000002,0.09785142573584867,0.12049210029401884,0.004253981343784581,1.94454348408307,2.387091215592282,0.08422160518562687,0.38813169576506645,333889.8209642542
0.10500000000000002,0.10781370928325777,0.13271950780454012,0.004685350405858407,2.0403699348805717,2.5038717886162325,0.08832601964390346,0.38382479779551704,331254.8214647477
0.11000000000000003,0.11825505075343705,0.1455306703503742,0.005137229610561031,2.136166653191137,2.6205932297174046,0.09242566223714602,0.37954236827945625,328669.9403675135
0.11500000000000003,0.12917533472697026,0.15892535247658404,0.005609596906119417,2.2319469362221476,2.7372796207665275,0.09652125598620867,0.3752840784297968,326133.72749687877
0.12000000000000004,0.14057451208517874,0.17290343889212922,0.00610243385745095,2.3277240070612457,2.8539549454515476,0.10061352454640454,0.371049607494113,323644.7889724032
0.12500000000000003,0.15245259967356722,0.18746493403822276,0.006615725650523423,2.4235110282941497,2.970643112985862,0.10470319268258468,0.3668386424778205,321201.7844787132
0.13000000000000003,0.1648096800329082,0.20260996177448473,0.007149461099062609,2.5193211154422412,3.0873679815189283,0.10879098673309,0.36265087787961037,318803.4246936517
0.13500000000000004,0.17764590119714943,0.21833876518155976,0.007703632653555923,2.615167350254257,3.2041533813110834,0.11287763506423576,0.3584860154384767,316448.46886409266
0.14000000000000004,0.19096147655749895,0.23465170647917,0.0082782364125089,2.7110627938855574,3.321023137733013,0.11696386851695466,0.354343763891721,314135.7225195781
0.14500000000000005,0.2047566847922072,0.25154926705887565,0.00887327213591928,2.8070204999977464,3.4380010941492465,0.12105042084719737,0.3502238387433522,311864.035314684
0.15000000000000005,0.2190318698617288,0.26903204763110944,0.00948874326094145,2.903053527810884,3.5551111347442683,0.12513802916167024,0.3461259620423399,309632.2989917012
0.15500000000000005,0.2337874410691064,0.2871007684863434,0.010124656919721817,2.999174955140157,3.6723772073493235,0.12922743435047665,0.34204986217020994,307439.4454558432
0.16000000000000006,0.24902387318557842,0.3057562698705362,0.010781023959393565,3.0953978914486524,3.7898233463277937,0.133319381518223,0.3379952736375031,305284.44495576335
0.16500000000000006,0.2647417066415696,0.32499951247529835,0.011457858964227,3.191735490947819,3.9074736955770586,0.1374146204151505,0.33396193688864717,303166.30436269415
0.17000000000000007,0.2809415477833823,0.34483157804350373,0.01215518027993953,3.2882009657772766,4.025352531705097,0.14151390586986132,0.32994959811481855,301084.0655419975
