t,x,y,vx,vy,mass_total,P
  0.6770,  3.946903,  4.629372,   8.4454,   8.2201,  0.150000, 227857.29
  0.6780,  3.955348,  4.637587,   8.4444,   8.2093,  0.150000, 227857.29
  0.6790,  3.963792,  4.645791,   8.4434,   8.1985,  0.150000, 227857.29
  0.6800,  3.972235,  4.653984,   8.4424,   8.1877,  0.150000, 227857.29
  0.6810,  3.980677,  4.662166,   8.4414,   8.1769,  0.150000, 227857.29
  0.6820,  3.989117,  4.670337,   8.4404,   8.1661,  0.150000, 227857.29
  0.6830,  3.997557,  4.678498,   8.4394,   8.1553,  0.150000, 227857.29
  0.6840,  4.005996,  4.686648,   8.4383,   8.1446,  0.150000, 227857.29
  0.6850,  4.014434,  4.694787,   8.4373,   8.1338,  0.150000, 227857.29
  0.6860,  4.022871,  4.702916,   8.4363,   8.1230,  0.150000, 227857.29
  0.6870,  4.031307,  4.711033,   8.4353,   8.1122,  0.150000, 227857.29
  0.6880,  4.039741,  4.719140,   8.4343,   8.1014,  0.150000, 227857.29
  0.6890,  4.048175,  4.727236,   8.4333,   8.0907,  0.150000, 227857.29
  0.6900,  4.056608,  4.735322,   8.4323,   8.0799,  0.150000, 227857.29
  0.6910,  4.065040,  4.743396,   8.4313,   8.0691,  0.150000, 227857.29
  0.6920,  4.073471,  4.751460,   8.4303,   8.0584,  0.150000, 227857.29
  0.6930,  4.081900,  4.759513,   8.4293,   8.0476,  0.150000, 227857.29
  0.6940,  4.090329,  4.767555,   8.4283,   8.0368,  0.150000, 227857.29
  0.6950,  4.098757,  4.775586,   8.4273,   8.0261,  0.150000, 227857.29
  0.6960,  4.107184,  4.783607,   8.4263,   8.0153,  0.150000, 227857.29
  0.6970,  4.115610,  4.791617,   8.4253,   8.0046,  0.150000, 227857.29
  0.6980,  4.124034,  4.799616,   8.4243,   7.9938,  0.150000, 227857.29
  0.6990,  4.132458,  4.807605,   8.4233,   7.9830,  0.150000, 227857.29
  0.7000,  4.140881,  4.815582,   8.4223,   7.9723,  0.150000, 227857.29
  0.7010,  4.149303,  4.823549,   8.4213,   7.9615,  0.150000, 227857.29
  0.7020,  4.157723,  4.831505,   8.4203,   7.9508,  0.150000, 227857.29
  0.7030,  4.166143,  4.839451,   8.4193,   7.9400,  0.150000, 227857.29
  0.7040,  4.174562,  4.847386,   8.4183,   7.9293,  0.150000, 227857.29
  0.7050,  4.182980,  4.855309,   8.4173,   7.9186,  0.150000, 227857.29
  0.7060,  4.191397,  4.863223,   8.4163,   7.9078,  0.150000, 227857.29
  0.7070,  4.199812,  4.871125,   8.4153,   7.8971,  0.150000, 227857.29
  0.7080,  4.208227,  4.879017,   8.4143,   7.8863,  0.150000, 227857.29
  0.7090,  4.216641,  4.886898,   8.4133,   7.8756,  0.150000, 227857.29
  0.7100,  4.225054,  4.894768,   8.4123,   7.8649,  0.150000, 227857.29
  0.7110,  4.233466,  4.902628,   8.4114,   7.8541,  0.150000, 227857.29
  0.7120,  4.241877,  4.910476,   8.4104,   7.8434,  0.150000, 227857.29
  0.7130,  4.250287,  4.918314,   8.4094,   7.8327,  0.150000, 227857.29
  0.7140,  4.258695,  4.926142,   8.4084,   7.8220,  0.150000, 227857.29
  0.7150,  4.267103,  4.933958,   8.4074,   7.8112,  0.150000, 227857.29
  0.7160,  4.275510,  4.941764,   8.4064,   7.8005,  0.150000, 227857.29
  0.7170,  4.283916,  4.949559,   8.4054,   7.7898,  0.150000, 227857.29
  0.7180,  4.292321,  4.957344,   8.4045,   7.7791,  0.150000, 227857.29
  0.7190,  4.300725,  4.965117,   8.4035,   7.7684,  0.150000, 227857.29
  0.7200,  4.309128,  4.972880,   8.4025,   7.7576,  0.150000, 227857.29
  0.7210,  4.317530,  4.980633,   8.4015,   7.7469,  0.150000, 227857.29
  0.7220,  4.325931,  4.988374,   8.4005,   7.7362,  0.150000, 227857.29
  0.7230,  4.334331,  4.996105,   8.3996,   7.7255,  0.150000, 227857.29
  0.7240,  4.342730,  5.003825,   8.3986,   7.7148,  0.150000, 227857.29
  0.7250,  4.351128,  5.011535,   8.3976,   7.7041,  0.150000, 227857.29
  0.7260,  4.359525,  5.019234,   8.3966,   7.6934,  0.150000, 227857.29
  0.7270,  4.367921,  5.026922,   8.3956,   7.6827,  0.150000, 227857.29
  0.7280,  4.376317,  5.034599,   8.3947,   7.6720,  0.150000, 227857.29
  0.7290,  4.384711,  5.042266,   8.3937,   7.6613,  0.150000, 227857.29
  0.7300,  4.393104,  5.049922,   8.3927,   7.6506,  0.150000, 227857.29
  0.7310,  4.401496,  5.057567,   8.3917,   7.6399,  0.150000, 227857.29
  0.7320,  4.409888,  5.065201,   8.3908,   7.6292,  0.150000, 227857.29
  0.7330,  4.418278,  5.072825,   8.3898,   7.6185,  0.150000, 227857.29
  0.7340,  4.426667,  5.080438,   8.3888,   7.6078,  0.150000, 227857.29
  0.7350,  4.435055,  5.088041,   8.3879,   7.5972,  0.150000, 227857.29
  0.7360,  4.443443,  5.095633,   8.3869,   7.5865,  0.150000, 227857.29
  0.7370,  4.451829,  5.103214,   8.3859,   7.5758,  0.150000, 227857.29
  0.7380,  4.460215,  5.110784,   8.3850,   7.5651,  0.150000, 227857.29
  0.7390,  4.468599,  5.118344,   8.3840,   7.5544,  0.150000, 227857.29
  0.7400,  4.476983,  5.125893,   8.3830,   7.5438,  0.150000, 227857.29
  0.7410,  4.485365,  5.133432,   8.3821,   7.5331,  0.150000, 227857.29
  0.7420,  4.493747,  5.140959,   8.3811,   7.5224,  0.150000, 227857.29
  0.7430,  4.502127,  5.148476,   8.3801,   7.5117,  0.150000, 227857.29
  0.7440,  4.510507,  5.155983,   8.3792,   7.5011,  0.150000, 227857.29
  0.7450,  4.518886,  5.163479,   8.3782,   7.4904,  0.150000, 227857.29
  0.7460,  4.527263,  5.170964,   8.3772,   7.4797,  0.150000, 227857.29
  0.7470,  4.535640,  5.178438,   8.3763,   7.4691,  0.150000, 227857.29
  0.7480,  4.544016,  5.185902,   8.3753,   7.4584,  0.150000, 227857.29
  0.7490,  4.552391,  5.193355,   8.3744,   7.4477,  0.150000, 227857.29
  0.7500,  4.560765,  5.200797,   8.3734,   7.4371,  0.150000, 227857.29
  0.7510,  4.569138,  5.208229,   8.3725,   7.4264,  0.150000, 227857.29
  0.7520,  4.577510,  5.215650,   8.3715,   7.4158,  0.150000, 227857.29
  0.7530,  4.585881,  5.223061,   8.3705,   7.4051,  0.150000, 227857.29
  0.7540,  4.594251,  5.230460,   8.3696,   7.3945,  0.150000, 227857.29
  0.7550,  4.602620,  5.237850,   8.3686,   7.3838,  0.150000, 227857.29
  0.7560,  4.610988,  5.245228,   8.3677,   7.3732,  0.150000, 227857.29
  0.7570,  4.619355,  5.252596,   8.3667,   7.3625,  0.150000, 227857.29
  0.7580,  4.627721,  5.259953,   8.3658,   7.3519,  0.150000, 227857.29
  0.7590,  4.636087,  5.267300,   8.3648,   7.3412,  0.150000, 227857.29
  0.7600,  4.644451,  5.274636,   8.3639,   7.3306,  0.150000, 227857.29
  0.7610,  4.652814,  5.281961,   8.3629,   7.3200,  0.150000, 227857.29
  0.7620,  4.661177,  5.289275,   8.3620,   7.3093,  0.150000, 227857.29
  0.7630,  4.669538,  5.296579,   8.3610,   7.2987,  0.150000, 227857.29
  0.7640,  4.677899,  5.303873,   8.3601,   7.2881,  0.150000, 227857.29
  0.7650,  4.686259,  5.311156,   8.3591,   7.2774,  0.150000, 227857.29
  0.7660,  4.694617,  5.318428,   8.3582,   7.2668,  0.150000, 227857.29
  0.7670,  4.702975,  5.325689,   8.3572,   7.2562,  0.150000, 227857.29
  0.7680,  4.711332,  5.332940,   8.3563,   7.2455,  0.150000, 227857.29
  0.7690,  4.719688,  5.340180,   8.3554,   7.2349,  0.150000, 227857.29
  0.7700,  4.728042,  5.347410,   8.3544,   7.2243,  0.150000, 227857.29
  0.7710,  4.736396,  5.354629,   8.3535,   7.2137,  0.150000, 227857.29
  0.7720,  4.744749,  5.361837,   8.3525,   7.2030,  0.150000, 227857.29
  0.7730,  4.753101,  5.369035,   8.3516,   7.1924,  0.150000, 227857.29
  0.7740,  4.761452,  5.376222,   8.3506,   7.1818,  0.150000, 227857.29
  0.7750,  4.769803,  5.383399,   8.3497,   7.1712,  0.150000, 227857.29
  0.7760,  4.778152,  5.390564,   8.3488,   7.1606,  0.150000, 227857.29
  0.7770,  4.786500,  5.397720,   8.3478,   7.1500,  0.150000, 227857.29
  0.7780,  4.794848,  5.404864,   8.3469,   7.1394,  0.150000, 227857.29
  0.7790,  4.803194,  5.411998,   8.3460,   7.1288,  0.150000, 227857.29
  0.7800,  4.811539,  5.419122,   8.3450,   7.1182,  0.150000, 227857.29
  0.7810,  4.819884,  5.426235,   8.3441,   7.1076,  0.150000, 227857.29
  0.7820,  4.828228,  5.433337,   8.3432,   7.0969,  0.150000, 227857.29
  0.7830,  4.836570,  5.440429,   8.3422,   7.0863,  0.150000, 227857.29
  0.7840,  4.844912,  5.447510,   8.3413,   7.0758,  0.150000, 227857.29
  0.7850,  4.853253,  5.454580,   8.3404,   7.0652,  0.150000, 227857.29
  0.7860,  4.861593,  5.461640,   8.3394,   7.0546,  0.150000, 227857.29
  0.7870,  4.869932,  5.468689,   8.3385,   7.0440,  0.150000, 227857.29
  0.7880,  4.878270,  5.475728,   8.3376,   7.0334,  0.150000, 227857.29
  0.7890,  4.886607,  5.482756,   8.3366,   7.0228,  0.150000, 227857.29
  0.7900,  4.894943,  5.489774,   8.3357,   7.0122,  0.150000, 227857.29
  0.7910,  4.903278,  5.496780,   8.3348,   7.0016,  0.150000, 227857.29
  0.7920,  4.911613,  5.503777,   8.3339,   6.9910,  0.150000, 227857.29
  0.7930,  4.919946,  5.510762,   8.3329,   6.9804,  0.150000, 227857.29
  0.7940,  4.928279,  5.517738,   8.3320,   6.9699,  0.150000, 227857.29
  0.7950,  4.936610,  5.524702,   8.3311,   6.9593,  0.150000, 227857.29
  0.7960,  4.944941,  5.531656,   8.3302,   6.9487,  0.150000, 227857.29
  0.7970,  4.953270,  5.538600,   8.3292,   6.9381,  0.150000, 227857.29
  0.7980,  4.961599,  5.545532,   8.3283,   6.9276,  0.150000, 227857.29
  0.7990,  4.969927,  5.552455,   8.3274,   6.9170,  0.150000, 227857.29
  0.8000,  4.978254,  5.559366,   8.3265,   6.9064,  0.150000, 227857.29
  0.8010,  4.986580,  5.566268,   8.3256,   6.8958,  0.150000, 227857.29
  0.8020,  4.994905,  5.573158,   8.3246,   6.8853,  0.150000, 227857.29
  0.8030,  5.003229,  5.580038,   8.3237,   6.8747,  0.150000, 227857.29
  0.8040,  5.011553,  5.586908,   8.3228,   6.8641,  0.150000, 227857.29
  0.8050,  5.019875,  5.593766,   8.3219,   6.8536,  0.150000, 227857.29
  0.8060,  5.028196,  5.600615,   8.3210,   6.8430,  0.150000, 227857.29
  0.8070,  5.036517,  5.607452,   8.3201,   6.8325,  0.150000, 227857.29
  0.8080,  5.044836,  5.614280,   8.3191,   6.8219,  0.150000, 227857.29
  0.8090,  5.053155,  5.621096,   8.3182,   6.8113,  0.150000, 227857.29
  0.8100,  5.061473,  5.627902,   8.3173,   6.8008,  0.150000, 227857.29
  0.8110,  5.069790,  5.634698,   8.3164,   6.7902,  0.150000, 227857.29
  0.8120,  5.078106,  5.641483,   8.3155,   6.7797,  0.150000, 227857.29
  0.8130,  5.086421,  5.648257,   8.3146,   6.7691,  0.150000, 227857.29
  0.8140,  5.094735,  5.655021,   8.3137,   6.7586,  0.150000, 227857.29
  0.8150,  5.103048,  5.661774,   8.3128,   6.7480,  0.150000, 227857.29
  0.8160,  5.111360,  5.668517,   8.3119,   6.7375,  0.150000, 227857.29
  0.8170,  5.119672,  5.675249,   8.3109,   6.7270,  0.150000, 227857.29
  0.8180,  5.127982,  5.681971,   8.3100,   6.7164,  0.150000, 227857.29
  0.8190,  5.136292,  5.688682,   8.3091,   6.7059,  0.150000, 227857.29
  0.8200,  5.144601,  5.695383,   8.3082,   6.6953,  0.150000, 227857.29
  0.8210,  5.152908,  5.702073,   8.3073,   6.6848,  0.150000, 227857.29
  0.8220,  5.161215,  5.708752,   8.3064,   6.6743,  0.150000, 227857.29
  0.8230,  5.169521,  5.715421,   8.3055,   6.6637,  0.150000, 227857.29
  0.8240,  5.177826,  5.722080,   8.3046,   6.6532,  0.150000, 227857.29
  0.8250,  5.186130,  5.728728,   8.3037,   6.6427,  0.150000, 227857.29
  0.8260,  5.194434,  5.735365,   8.3028,   6.6322,  0.150000, 227857.29
  0.8270,  5.202736,  5.741992,   8.3019,   6.6216,  0.150000, 227857.29
  0.8280,  5.211037,  5.748609,   8.3010,   6.6111,  0.150000, 227857.29
  0.8290,  5.219338,  5.755214,   8.3001,   6.6006,  0.150000, 227857.29
  0.8300,  5.227638,  5.761810,   8.2992,   6.5901,  0.150000, 227857.29
  0.8310,  5.235936,  5.768394,   8.2983,   6.5795,  0.150000, 227857.29
  0.8320,  5.244234,  5.774969,   8.2974,   6.5690,  0.150000, 227857.29
  0.8330,  5.252531,  5.781532,   8.2965,   6.5585,  0.150000, 227857.29
  0.8340,  5.260827,  5.788086,   8.2956,   6.5480,  0.150000, 227857.29
  0.8350,  5.269122,  5.794628,   8.2947,   6.5375,  0.150000, 227857.29
  0.8360,  5.277417,  5.801161,   8.2938,   6.5270,  0.150000, 227857.29
  0.8370,  5.285710,  5.807682,   8.2929,   6.5165,  0.150000, 227857.29
  0.8380,  5.294003,  5.814194,   8.2920,   6.5059,  0.150000, 227857.29
  0.8390,  5.302294,  5.820694,   8.2912,   6.4954,  0.150000, 227857.29
  0.8400,  5.310585,  5.827184,   8.2903,   6.4849,  0.150000, 227857.29
  0.8410,  5.318875,  5.833664,   8.2894,   6.4744,  0.150000, 227857.29
  0.8420,  5.327164,  5.840133,   8.2885,   6.4639,  0.150000, 227857.29
  0.8430,  5.335452,  5.846592,   8.2876,   6.4534,  0.150000, 227857.29
  0.8440,  5.343739,  5.853040,   8.2867,   6.4429,  0.150000, 227857.29
  0.8450,  5.352025,  5.859478,   8.2858,   6.4324,  0.150000, 227857.29
  0.8460,  5.360310,  5.865905,   8.2849,   6.4219,  0.150000, 227857.29
  0.8470,  5.368595,  5.872322,   8.2840,   6.4114,  0.150000, 227857.29
  0.8480,  5.376879,  5.878728,   8.2832,   6.4010,  0.150000, 227857.29
  0.8490,  5.385161,  5.885124,   8.2823,   6.3905,  0.150000, 227857.29
  0.8500,  5.393443,  5.891509,   8.2814,   6.3800,  0.150000, 227857.29
  0.8510,  5.401724,  5.897884,   8.2805,   6.3695,  0.150000, 227857.29
  0.8520,  5.410004,  5.904248,   8.2796,   6.3590,  0.150000, 227857.29
  0.8530,  5.418283,  5.910602,   8.2787,   6.3485,  0.150000, 227857.29
  0.8540,  5.426562,  5.916945,   8.2779,   6.3380,  0.150000, 227857.29
  0.8550,  5.434839,  5.923278,   8.2770,   6.3275,  0.150000, 227857.29
  0.8560,  5.443115,  5.929600,   8.2761,   6.3171,  0.150000, 227857.29
  0.8570,  5.451391,  5.935912,   8.2752,   6.3066,  0.150000, 227857.29
  0.8580,  5.459666,  5.942213,   8.2743,   6.2961,  0.150000, 227857.29
  0.8590,  5.467940,  5.948504,   8.2735,   6.2856,  0.150000, 227857.29
  0.8600,  5.476213,  5.954784,   8.2726,   6.2752,  0.150000, 227857.29
  0.8610,  5.484485,  5.961054,   8.2717,   6.2647,  0.150000, 227857.29
  0.8620,  5.492756,  5.967314,   8.2708,   6.2542,  0.150000, 227857.29
  0.8630,  5.501027,  5.973563,   8.2699,   6.2438,  0.150000, 227857.29
  0.8640,  5.509296,  5.979801,   8.2691,   6.2333,  0.150000, 227857.29
  0.8650,  5.517565,  5.986029,   8.2682,   6.2228,  0.150000, 227857.29
  0.8660,  5.525833,  5.992247,   8.2673,   6.2124,  0.150000, 227857.29
  0.8670,  5.534099,  5.998454,   8.2665,   6.2019,  0.150000, 227857.29
  0.8680,  5.542365,  6.004651,   8.2656,   6.1914,  0.150000, 227857.29
  0.8690,  5.550631,  6.010837,   8.2647,   6.1810,  0.150000, 227857.29
  0.8700,  5.558895,  6.017013,   8.2638,   6.1705,  0.150000, 227857.29
  0.8710,  5.567158,  6.023178,   8.2630,   6.1601,  0.150000, 227857.29
  0.8720,  5.575421,  6.029333,   8.2621,   6.1496,  0.150000, 227857.29
  0.8730,  5.583682,  6.035477,   8.2612,   6.1392,  0.150000, 227857.29
  0.8740,  5.591943,  6.041611,   8.2604,   6.1287,  0.150000, 227857.29
  0.8750,  5.600203,  6.047735,   8.2595,   6.1183,  0.150000, 227857.29
  0.8760,  5.608462,  6.053848,   8.2586,   6.1078,  0.150000, 227857.29
  0.8770,  5.616720,  6.059950,   8.2578,   6.0974,  0.150000, 227857.29
  0.8780,  5.624978,  6.066042,   8.2569,   6.0869,  0.150000, 227857.29
  0.8790,  5.633234,  6.072124,   8.2560,   6.0765,  0.150000, 227857.29
  0.8800,  5.641490,  6.078195,   8.2552,   6.0660,  0.150000, 227857.29
  0.8810,  5.649745,  6.084256,   8.2543,   6.0556,  0.150000, 227857.29
  0.8820,  5.657998,  6.090306,   8.2534,   6.0451,  0.150000, 227857.29
  0.8830,  5.666251,  6.096346,   8.2526,   6.0347,  0.150000, 227857.29
  0.8840,  5.674504,  6.102376,   8.2517,   6.0243,  0.150000, 227857.29
  0.8850,  5.682755,  6.108395,   8.2509,   6.0138,  0.150000, 227857.29
  0.8860,  5.691005,  6.114404,   8.2500,   6.0034,  0.150000, 227857.29
  0.8870,  5.699255,  6.120402,   8.2491,   5.9930,  0.150000, 227857.29
  0.8880,  5.707504,  6.126389,   8.2483,   5.9825,  0.150000, 227857.29
  0.8890,  5.715751,  6.132367,   8.2474,   5.9721,  0.150000, 227857.29
  0.8900,  5.723998,  6.138334,   8.2466,   5.9617,  0.150000, 227857.29
  0.8910,  5.732245,  6.144290,   8.2457,   5.9513,  0.150000, 227857.29
  0.8920,  5.740490,  6.150236,   8.2449,   5.9408,  0.150000, 227857.29
  0.8930,  5.748734,  6.156172,   8.2440,   5.9304,  0.150000, 227857.29
  0.8940,  5.756978,  6.162097,   8.2431,   5.9200,  0.150000, 227857.29
  0.8950,  5.765221,  6.168012,   8.2423,   5.9096,  0.150000, 227857.29
  0.8960,  5.773462,  6.173916,   8.2414,   5.8991,  0.150000, 227857.29
  0.8970,  5.781703,  6.179810,   8.2406,   5.8887,  0.150000, 227857.29
  0.8980,  5.789944,  6.185694,   8.2397,   5.8783,  0.150000, 227857.29
  0.8990,  5.798183,  6.191567,   8.2389,   5.8679,  0.150000, 227857.29
  0.9000,  5.806421,  6.197429,   8.2380,   5.8575,  0.150000, 227857.29
  0.9010,  5.814659,  6.203282,   8.2372,   5.8471,  0.150000, 227857.29
  0.9020,  5.822896,  6.209124,   8.2363,   5.8367,  0.150000, 227857.29
  0.9030,  5.831132,  6.214955,   8.2355,   5.8263,  0.150000, 227857.29
  0.9040,  5.839367,  6.220776,   8.2346,   5.8159,  0.150000, 227857.29
  0.9050,  5.847601,  6.226587,   8.2338,   5.8054,  0.150000, 227857.29
  0.9060,  5.855834,  6.232387,   8.2329,   5.7950,  0.150000, 227857.29
  0.9070,  5.864067,  6.238177,   8.2321,   5.7846,  0.150000, 227857.29
  0.9080,  5.872299,  6.243956,   8.2312,   5.7742,  0.150000, 227857.29
  0.9090,  5.880529,  6.249725,   8.2304,   5.7638,  0.150000, 227857.29
  0.9100,  5.888759,  6.255484,   8.2296,   5.7534,  0.150000, 227857.29
  0.9110,  5.896988,  6.261232,   8.2287,   5.7430,  0.150000, 227857.29
  0.9120,  5.905217,  6.266970,   8.2279,   5.7327,  0.150000, 227857.29
  0.9130,  5.913444,  6.272698,   8.2270,   5.7223,  0.150000, 227857.29
  0.9140,  5.921671,  6.278415,   8.2262,   5.7119,  0.150000, 227857.29
  0.9150,  5.929897,  6.284121,   8.2253,   5.7015,  0.150000, 227857.29
  0.9160,  5.938122,  6.289818,   8.2245,   5.6911,  0.150000, 227857.29
  0.9170,  5.946346,  6.295503,   8.2237,   5.6807,  0.150000, 227857.29
  0.9180,  5.954569,  6.301179,   8.2228,   5.6703,  0.150000, 227857.29
  0.9190,  5.962791,  6.306844,   8.2220,   5.6599,  0.150000, 227857.29
  0.9200,  5.971013,  6.312499,   8.2212,   5.6495,  0.150000, 227857.29
  0.9210,  5.979234,  6.318143,   8.2203,   5.6392,  0.150000, 227857.29
  0.9220,  5.987453,  6.323777,   8.2195,   5.6288,  0.150000, 227857.29
  0.9230,  5.995673,  6.329401,   8.2186,   5.6184,  0.150000, 227857.29
  0.9240,  6.003891,  6.335014,   8.2178,   5.6080,  0.150000, 227857.29
  0.9250,  6.012108,  6.340617,   8.2170,   5.5977,  0.150000, 227857.29
  0.9260,  6.020325,  6.346209,   8.2161,   5.5873,  0.150000, 227857.29
  0.9270,  6.028540,  6.351791,   8.2153,   5.5769,  0.150000, 227857.29
  0.9280,  6.036755,  6.357363,   8.2145,   5.5665,  0.150000, 227857.29
  0.9290,  6.044969,  6.362924,   8.2136,   5.5562,  0.150000, 227857.29
  0.9300,  6.053183,  6.368475,   8.2128,   5.5458,  0.150000, 227857.29
  0.9310,  6.061395,  6.374016,   8.2120,   5.5354,  0.150000, 227857.29
  0.9320,  6.069607,  6.379546,   8.2111,   5.5251,  0.150000, 227857.29
  0.9330,  6.077817,  6.385066,   8.2103,   5.5147,  0.150000, 227857.29
  0.9340,  6.086027,  6.390576,   8.2095,   5.5043,  0.150000, 227857.29
  0.9350,  6.094236,  6.396075,   8.2087,   5.4940,  0.150000, 227857.29
  0.9360,  6.102444,  6.401564,   8.2078,   5.4836,  0.150000, 227857.29
  0.9370,  6.110652,  6.407042,   8.2070,   5.4732,  0.150000, 227857.29
  0.9380,  6.118859,  6.412510,   8.2062,   5.4629,  0.150000, 227857.29
  0.9390,  6.127064,  6.417968,   8.2054,   5.4525,  0.150000, 227857.29
  0.9400,  6.135269,  6.423415,   8.2045,   5.4422,  0.150000, 227857.29
  0.9410,  6.143473,  6.428852,   8.2037,   5.4318,  0.150000, 227857.29
  0.9420,  6.151677,  6.434279,   8.2029,   5.4215,  0.150000, 227857.29
  0.9430,  6.159879,  6.439695,   8.2021,   5.4111,  0.150000, 227857.29
  0.9440,  6.168081,  6.445101,   8.2012,   5.4008,  0.150000, 227857.29
  0.9450,  6.176282,  6.450497,   8.2004,   5.3904,  0.150000, 227857.29
  0.9460,  6.184482,  6.455882,   8.1996,   5.3801,  0.150000, 227857.29
  0.9470,  6.192681,  6.461257,   8.1988,   5.3697,  0.150000, 227857.29
  0.9480,  6.200879,  6.466621,   8.1979,   5.3594,  0.150000, 227857.29
  0.9490,  6.209077,  6.471976,   8.1971,   5.3490,  0.150000, 227857.29
  0.9500,  6.217273,  6.477319,   8.1963,   5.3387,  0.150000, 227857.29
  0.9510,  6.225469,  6.482653,   8.1955,   5.3284,  0.150000, 227857.29
  0.9520,  6.233664,  6.487976,   8.1947,   5.3180,  0.150000, 227857.29
  0.9530,  6.241859,  6.493289,   8.1939,   5.3077,  0.150000, 227857.29
  0.9540,  6.250052,  6.498592,   8.1930,   5.2974,  0.150000, 227857.29
  0.9550,  6.258245,  6.503884,   8.1922,   5.2870,  0.150000, 227857.29
  0.9560,  6.266437,  6.509166,   8.1914,   5.2767,  0.150000, 227857.29
  0.9570,  6.274628,  6.514437,   8.1906,   5.2664,  0.150000, 227857.29
  0.9580,  6.282818,  6.519698,   8.1898,   5.2560,  0.150000, 227857.29
  0.9590,  6.291007,  6.524949,   8.1890,   5.2457,  0.150000, 227857.29
  0.9600,  6.299196,  6.530190,   8.1882,   5.2354,  0.150000, 227857.29
  0.9610,  6.307383,  6.535420,   8.1873,   5.2250,  0.150000, 227857.29
  0.9620,  6.315570,  6.540640,   8.1865,   5.2147,  0.150000, 227857.29
  0.9630,  6.323756,  6.545849,   8.1857,   5.2044,  0.150000, 227857.29
  0.9640,  6.331942,  6.551049,   8.1849,   5.1941,  0.150000, 227857.29
  0.9650,  6.340126,  6.556237,   8.1841,   5.1838,  0.150000, 227857.29
  0.9660,  6.348310,  6.561416,   8.1833,   5.1734,  0.150000, 227857.29
  0.9670,  6.356493,  6.566584,   8.1825,   5.1631,  0.150000, 227857.29
  0.9680,  6.364675,  6.571742,   8.1817,   5.1528,  0.150000, 227857.29
  0.9690,  6.372856,  6.576890,   8.1809,   5.1425,  0.150000, 227857.29
  0.9700,  6.381037,  6.582027,   8.1801,   5.1322,  0.150000, 227857.29
  0.9710,  6.389216,  6.587154,   8.1793,   5.1219,  0.150000, 227857.29
  0.9720,  6.397395,  6.592271,   8.1784,   5.1115,  0.150000, 227857.29
  0.9730,  6.405573,  6.597377,   8.1776,   5.1012,  0.150000, 227857.29
  0.9740,  6.413750,  6.602473,   8.1768,   5.0909,  0.150000, 227857.29
  0.9750,  6.421927,  6.607559,   8.1760,   5.0806,  0.150000, 227857.29
  0.9760,  6.430102,  6.612635,   8.1752,   5.0703,  0.150000, 227857.29
  0.9770,  6.438277,  6.617700,   8.1744,   5.0600,  0.150000, 227857.29
  0.9780,  6.446451,  6.622755,   8.1736,   5.0497,  0.150000, 227857.29
  0.9790,  6.454625,  6.627799,   8.1728,   5.0394,  0.150000, 227857.29
  0.9800,  6.462797,  6.632834,   8.1720,   5.0291,  0.150000, 227857.29
  0.9810,  6.470969,  6.637857,   8.1712,   5.0188,  0.150000, 227857.29
  0.9820,  6.479139,  6.642871,   8.1704,   5.0085,  0.150000, 227857.29
  0.9830,  6.487309,  6.647875,   8.1696,   4.9982,  0.150000, 227857.29
  0.9840,  6.495479,  6.652868,   8.1688,   4.9879,  0.150000, 227857.29
  0.9850,  6.503647,  6.657850,   8.1680,   4.9776,  0.150000, 227857.29
  0.9860,  6.511815,  6.662823,   8.1672,   4.9673,  0.150000, 227857.29
  0.9870,  6.519982,  6.667785,   8.1664,   4.9570,  0.150000, 227857.29
  0.9880,  6.528148,  6.672737,   8.1656,   4.9467,  0.150000, 227857.29
  0.9890,  6.536313,  6.677678,   8.1648,   4.9365,  0.150000, 227857.29
  0.9900,  6.544477,  6.682610,   8.1640,   4.9262,  0.150000, 227857.29
  0.9910,  6.552641,  6.687531,   8.1632,   4.9159,  0.150000, 227857.29
  0.9920,  6.560804,  6.692442,   8.1625,   4.9056,  0.150000, 227857.29
  0.9930,  6.568966,  6.697342,   8.1617,   4.8953,  0.150000, 227857.29
  0.9940,  6.577127,  6.702232,   8.1609,   4.8850,  0.150000, 227857.29
  0.9950,  6.585288,  6.707112,   8.1601,   4.8748,  0.150000, 227857.29
  0.9960,  6.593447,  6.711982,   8.1593,   4.8645,  0.150000, 227857.29
  0.9970,  6.601606,  6.716841,   8.1585,   4.8542,  0.150000, 227857.29
  0.9980,  6.609764,  6.721690,   8.1577,   4.8439,  0.150000, 227857.29
  0.9990,  6.617921,  6.726529,   8.1569,   4.8336,  0.150000, 227857.29
  1.0000,  6.626078,  6.731357,   8.1561,   4.8234,  0.150000, 227857.29
  1.0010,  6.634234,  6.736176,   8.1553,   4.8131,  0.150000, 227857.29
  1.0020,  6.642389,  6.740984,   8.1545,   4.8028,  0.150000, 227857.29
  1.0030,  6.650543,  6.745781,   8.1538,   4.7926,  0.150000, 227857.29
  1.0040,  6.658696,  6.750569,   8.1530,   4.7823,  0.150000, 227857.29
  1.0050,  6.666849,  6.755346,   8.1522,   4.7720,  0.150000, 227857.29
  1.0060,  6.675001,  6.760113,   8.1514,   4.7617,  0.150000, 227857.29
  1.0070,  6.683152,  6.764869,   8.1506,   4.7515,  0.150000, 227857.29
  1.0080,  6.691302,  6.769616,   8.1498,   4.7412,  0.150000, 227857.29
